2024-12-30 16:50:06,223 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:50:06,232 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,687 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,694 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 17:21:37,686 - INFO - Batch 1-100: Trainer Wins: 43, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 0.9, Agent total reward:-0.09999999999999999 
2024-12-30 17:21:37,815 - INFO - Batch 1-100: Trainer Wins: 44, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 0.87, Agent total reward:-0.12999999999999998 
2024-12-30 17:21:37,816 - INFO - Batch 1-100: Trainer Wins: 45, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 15.93, Agent total reward:0.41 
2024-12-30 17:21:37,816 - INFO - Batch 1-100: Trainer Wins: 46, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 0.91, Agent total reward:0.41999999999999993 
2024-12-30 17:21:37,816 - INFO - Batch 1-100: Trainer Wins: 47, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 0.9299999999999999, Agent total reward:-0.07 
2024-12-30 17:21:38,065 - INFO - Batch 1-100: Trainer Wins: 48, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 0.89, Agent total reward:-0.10999999999999999 
2024-12-30 17:21:38,187 - INFO - Batch 1-100: Trainer Wins: 49, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 1.37, Agent total reward:6.4 
2024-12-30 17:21:38,188 - INFO - Batch 1-100: Trainer Wins: 50, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 10.96, Agent total reward:5.46 
2024-12-30 17:21:38,189 - INFO - Batch 1-100: Trainer Wins: 51, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 15.940000000000001, Agent total reward:1.44 
2024-12-30 17:21:38,191 - INFO - Batch 1-100: Trainer Wins: 52, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: 20.95, Agent total reward:5.9399999999999995 
2024-12-30 17:21:38,200 - INFO - Batch 1-100: Trainer Wins: 52, Agent Wins: 24, Draws: 0, EPSILON: 1.0Trainer total reward: -0.09, Agent total reward:0.92 
2024-12-30 17:21:38,354 - INFO - Batch 1-100: Trainer Wins: 52, Agent Wins: 25, Draws: 0, EPSILON: 1.0Trainer total reward: -0.08, Agent total reward:0.9299999999999999 
2024-12-30 17:21:38,400 - INFO - Batch 1-100: Trainer Wins: 53, Agent Wins: 25, Draws: 0, EPSILON: 1.0Trainer total reward: 0.92, Agent total reward:-0.08 
2024-12-30 17:21:38,679 - INFO - Batch 1-100: Trainer Wins: 54, Agent Wins: 25, Draws: 0, EPSILON: 1.0Trainer total reward: 5.890000000000001, Agent total reward:0.8999999999999999 
2024-12-30 17:21:38,971 - INFO - Batch 1-100: Trainer Wins: 54, Agent Wins: 26, Draws: 0, EPSILON: 1.0Trainer total reward: 14.860000000000001, Agent total reward:1.8599999999999999 
2024-12-30 17:21:38,972 - INFO - Batch 1-100: Trainer Wins: 55, Agent Wins: 26, Draws: 0, EPSILON: 1.0Trainer total reward: 0.9299999999999999, Agent total reward:0.44 
2024-12-30 17:21:38,972 - INFO - Batch 1-100: Trainer Wins: 55, Agent Wins: 27, Draws: 0, EPSILON: 1.0Trainer total reward: 10.42, Agent total reward:0.9 
2024-12-30 17:21:38,972 - INFO - Batch 1-100: Trainer Wins: 56, Agent Wins: 27, Draws: 0, EPSILON: 1.0Trainer total reward: 5.92, Agent total reward:0.42 
2024-12-30 17:21:38,972 - INFO - Batch 1-100: Trainer Wins: 57, Agent Wins: 27, Draws: 0, EPSILON: 1.0Trainer total reward: 0.87, Agent total reward:-0.12999999999999998 
2024-12-30 17:21:38,972 - INFO - Batch 1-100: Trainer Wins: 57, Agent Wins: 28, Draws: 0, EPSILON: 1.0Trainer total reward: 2.44, Agent total reward:20.94 
2024-12-30 17:21:38,973 - INFO - Batch 1-100: Trainer Wins: 58, Agent Wins: 28, Draws: 0, EPSILON: 1.0Trainer total reward: 20.94, Agent total reward:0.41 
2024-12-30 17:21:39,119 - INFO - Batch 1-100: Trainer Wins: 58, Agent Wins: 29, Draws: 0, EPSILON: 1.0Trainer total reward: 0.4, Agent total reward:5.91 
